tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
51-52-5,PROPYLTHIOURACIL,suspected,False,True,False,True,True,False,True,False,False,False,False,False
51-71-8,PHENELZINE,suspected,True,False,False,False,False,False,False,False,True,False,False,False
51-75-2,MECHLORETHAMINE,recognized,True,False,True,False,False,False,False,False,False,False,False,False
51-75-2,MECHLORETHAMINE,suspected,False,True,False,False,False,False,False,False,False,True,False,True
51-79-6,URETHANE,recognized,True,False,True,False,False,False,False,False,False,False,False,False
51-79-6,URETHANE,suspected,False,False,False,False,True,False,True,False,False,False,True,True
51-98-9,NORETHISTERONE ACETATE (NORETHINDRONE ACETATE),recognized,False,False,True,False,False,False,False,False,False,False,False,False
510-15-6,CHLOROBENZILATE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
510-15-6,CHLOROBENZILATE,suspected,False,True,False,False,True,False,True,False,False,True,False,False
5103-71-9,CIS-CHLORDANE,suspected,False,False,False,True,False,False,False,False,False,False,False,False
5103-73-1,"NONACHLOR, CIS-",suspected,False,False,False,True,False,False,False,False,False,False,False,False
5103-74-2,TRANS-CHLORDANE,suspected,False,False,False,True,False,False,False,False,False,False,False,False
5104-49-4,flurbiprofen,recognized,False,False,True,False,False,False,False,False,False,True,False,False
5104-49-4,flurbiprofen,suspected,False,True,False,False,True,False,False,False,True,False,False,True
512-56-1,TRIMETHYL PHOSPHATE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
512-56-1,TRIMETHYL PHOSPHATE,suspected,False,False,False,False,False,False,False,False,True,True,False,False
51207-31-9,"2,3,7,8-TETRACHLORODIBENZOFURAN",recognized,True,False,False,False,False,False,False,False,False,False,False,False
51207-31-9,"2,3,7,8-TETRACHLORODIBENZOFURAN",suspected,False,False,False,True,False,False,False,False,False,False,False,True
51218-45-2,METOLACHLOR,suspected,True,True,False,False,False,False,False,False,False,False,False,False
51218-49-6,Pretilachlor,suspected,False,False,False,False,False,False,True,False,False,False,False,False
51235-04-2,HEXAZINONE,suspected,False,False,False,False,True,False,False,False,False,False,False,False
5124-30-1,"1,1'-METHYLENEBIS(4-ISOCYANATOCYCLOHEXANE)",suspected,False,False,False,False,False,True,False,False,False,False,True,True
51264-14-3,Amsacrine,suspected,True,False,False,False,False,False,False,False,False,False,False,False
513-37-1,DIMETHYLVINYLCHLORIDE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
513-37-1,DIMETHYLVINYLCHLORIDE,suspected,False,False,False,False,True,False,False,False,True,False,True,True
513-77-9,BARIUM CARBONATE,suspected,False,True,False,False,True,False,False,False,True,False,True,False
513-78-0,CADMIUM CARBONATE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
5131-24-8,DITALIMFOS,suspected,False,False,False,False,False,True,False,False,False,False,False,True
5131-60-2,4-CHLORO-M-PHENYLENEDIAMINE,suspected,True,False,False,False,True,False,False,False,False,False,False,False
5131-66-8,"1,2-PROPYLENE GLYCOL 1-MONOBUTYL ETHER",suspected,False,False,False,False,False,False,False,False,True,False,False,False
51338-27-3,DICLOFOP METHYL,recognized,False,False,True,False,False,False,False,False,False,False,False,False
51338-27-3,DICLOFOP METHYL,suspected,True,False,False,False,True,False,True,False,False,False,False,False
514-10-3,ABIETIC ACID,suspected,False,False,False,False,False,False,False,False,False,False,False,True
5160-02-1,D & C RED NO. 9,recognized,True,False,False,False,False,False,False,False,False,False,False,False
51630-58-1,FENVALERATE,suspected,False,True,False,True,True,True,False,False,True,False,False,True
51707-55-2,THIDIAZURON,suspected,False,False,False,False,False,False,False,False,True,False,False,False
